text,answer,label
提問:我不知道我這麼爛--模板:{"name":"不要難過 那只是一幅畫""number":"SS0199"}{"name":"你們到底有沒有大腦啊""number":"SS0109"}{"name":"我好想你""number":"SS0289"}{"name":"連章魚哥都好想你""number":"SS0291"}{"name":"你不要來亂好不好""number":"SS0061"}{"name":"你不要來亂好不好""number":"SS0061"}{"name":"你現在正在笑的是一個贏家""number":"SS0225"}][{"name":"好討厭哦""number":"SS0099"}{"name":"壞蛋""number":"SS0146"}{"name":"你把醜八怪病傳染給我了""number":"SS0163"}{"name":"你好醜哦""number":"SS0150"}{"name":"慘了 又來個天兵""number":"SS0074"}{"name":"你把醜八怪病傳染給我了""number":"SS0163"}{"name":"你還不懂嗎 你這甲殼類大頭呆""number":"SS0010"},好討厭哦,4
提問:我不知道我這麼爛--模板:{"name":"不要難過 那只是一幅畫""number":"SS0199"}{"name":"你們到底有沒有大腦啊""number":"SS0109"}{"name":"我好想你""number":"SS0289"}{"name":"連章魚哥都好想你""number":"SS0291"}{"name":"你不要來亂好不好""number":"SS0061"}{"name":"你不要來亂好不好""number":"SS0061"}{"name":"你現在正在笑的是一個贏家""number":"SS0225"}][{"name":"好討厭哦""number":"SS0099"}{"name":"壞蛋""number":"SS0146"}{"name":"你把醜八怪病傳染給我了""number":"SS0163"}{"name":"你好醜哦""number":"SS0150"}{"name":"慘了 又來個天兵""number":"SS0074"}{"name":"你把醜八怪病傳染給我了""number":"SS0163"}{"name":"你還不懂嗎 你這甲殼類大頭呆""number":"SS0010"},你們到底有沒有大腦啊,2
提問:我不知道我這麼爛--模板:{"name":"不要難過 那只是一幅畫""number":"SS0199"}{"name":"你們到底有沒有大腦啊""number":"SS0109"}{"name":"我好想你""number":"SS0289"}{"name":"連章魚哥都好想你""number":"SS0291"}{"name":"你不要來亂好不好""number":"SS0061"}{"name":"你不要來亂好不好""number":"SS0061"}{"name":"你現在正在笑的是一個贏家""number":"SS0225"}][{"name":"好討厭哦""number":"SS0099"}{"name":"壞蛋""number":"SS0146"}{"name":"你把醜八怪病傳染給我了""number":"SS0163"}{"name":"你好醜哦""number":"SS0150"}{"name":"慘了 又來個天兵""number":"SS0074"}{"name":"你把醜八怪病傳染給我了""number":"SS0163"}{"name":"你還不懂嗎 你這甲殼類大頭呆""number":"SS0010"},你把醜八怪病傳染給我了,2
提問:我不知道我這麼爛--模板:{"name":"不要難過 那只是一幅畫""number":"SS0199"}{"name":"你們到底有沒有大腦啊""number":"SS0109"}{"name":"我好想你""number":"SS0289"}{"name":"連章魚哥都好想你""number":"SS0291"}{"name":"你不要來亂好不好""number":"SS0061"}{"name":"你不要來亂好不好""number":"SS0061"}{"name":"你現在正在笑的是一個贏家""number":"SS0225"}][{"name":"好討厭哦""number":"SS0099"}{"name":"壞蛋""number":"SS0146"}{"name":"你把醜八怪病傳染給我了""number":"SS0163"}{"name":"你好醜哦""number":"SS0150"}{"name":"慘了 又來個天兵""number":"SS0074"}{"name":"你把醜八怪病傳染給我了""number":"SS0163"}{"name":"你還不懂嗎 你這甲殼類大頭呆""number":"SS0010"},不，你不爛,1
提問:我想下班--模板:{"name":"我要走向電話""number":"SS0102"}{"name":"可是你看我現在多優啊""number":"SS0229"}{"name":"你不要來亂好不好""number":"SS0061"}{"name":"你現在正在笑的是一個贏家""number":"SS0225"}{"name":"你比我還要大隻""number":"SS0264"}{"name":"我會救你的 可是我要先去刷個牙""number":"SS0239"}{"name":"我跟你打招呼 不是你可以隨便倒轉回來""number":"SS0094"}][{"name":"滾出我的腦袋""number":"SS0262"}{"name":"快點離開這裡""number":"SS0063"}{"name":"快點離開這裡""number":"SS0063"}{"name":"派大星 快點抽出來""number":"SS0217"}{"name":"講完了""number":"SS0155"}{"name":"派大星 快點抽出來""number":"SS0217"}{"name":"兄弟 要搭便車嗎""number":"SS0106"},我會救你的 可是我要先去刷個牙,5
提問:我想下班--模板:{"name":"我要走向電話""number":"SS0102"}{"name":"可是你看我現在多優啊""number":"SS0229"}{"name":"你不要來亂好不好""number":"SS0061"}{"name":"你現在正在笑的是一個贏家""number":"SS0225"}{"name":"你比我還要大隻""number":"SS0264"}{"name":"我會救你的 可是我要先去刷個牙""number":"SS0239"}{"name":"我跟你打招呼 不是你可以隨便倒轉回來""number":"SS0094"}][{"name":"滾出我的腦袋""number":"SS0262"}{"name":"快點離開這裡""number":"SS0063"}{"name":"快點離開這裡""number":"SS0063"}{"name":"派大星 快點抽出來""number":"SS0217"}{"name":"講完了""number":"SS0155"}{"name":"派大星 快點抽出來""number":"SS0217"}{"name":"兄弟 要搭便車嗎""number":"SS0106"},快點離開這裡,5
提問:我想下班--模板:{"name":"我要走向電話""number":"SS0102"}{"name":"可是你看我現在多優啊""number":"SS0229"}{"name":"你不要來亂好不好""number":"SS0061"}{"name":"你現在正在笑的是一個贏家""number":"SS0225"}{"name":"你比我還要大隻""number":"SS0264"}{"name":"我會救你的 可是我要先去刷個牙""number":"SS0239"}{"name":"我跟你打招呼 不是你可以隨便倒轉回來""number":"SS0094"}][{"name":"滾出我的腦袋""number":"SS0262"}{"name":"快點離開這裡""number":"SS0063"}{"name":"快點離開這裡""number":"SS0063"}{"name":"派大星 快點抽出來""number":"SS0217"}{"name":"講完了""number":"SS0155"}{"name":"派大星 快點抽出來""number":"SS0217"}{"name":"兄弟 要搭便車嗎""number":"SS0106"},妳比我小隻,1
提問:我想下班--模板:{"name":"我要走向電話""number":"SS0102"}{"name":"可是你看我現在多優啊""number":"SS0229"}{"name":"你不要來亂好不好""number":"SS0061"}{"name":"你現在正在笑的是一個贏家""number":"SS0225"}{"name":"你比我還要大隻""number":"SS0264"}{"name":"我會救你的 可是我要先去刷個牙""number":"SS0239"}{"name":"我跟你打招呼 不是你可以隨便倒轉回來""number":"SS0094"}][{"name":"滾出我的腦袋""number":"SS0262"}{"name":"快點離開這裡""number":"SS0063"}{"name":"快點離開這裡""number":"SS0063"}{"name":"派大星 快點抽出來""number":"SS0217"}{"name":"講完了""number":"SS0155"}{"name":"派大星 快點抽出來""number":"SS0217"}{"name":"兄弟 要搭便車嗎""number":"SS0106"},兄弟 要搭便車嗎,3
提問:我想下班--模板:{"name":"我要走向電話""number":"SS0102"}{"name":"可是你看我現在多優啊""number":"SS0229"}{"name":"你不要來亂好不好""number":"SS0061"}{"name":"你現在正在笑的是一個贏家""number":"SS0225"}{"name":"你比我還要大隻""number":"SS0264"}{"name":"我會救你的 可是我要先去刷個牙""number":"SS0239"}{"name":"我跟你打招呼 不是你可以隨便倒轉回來""number":"SS0094"}][{"name":"滾出我的腦袋""number":"SS0262"}{"name":"快點離開這裡""number":"SS0063"}{"name":"快點離開這裡""number":"SS0063"}{"name":"派大星 快點抽出來""number":"SS0217"}{"name":"講完了""number":"SS0155"}{"name":"派大星 快點抽出來""number":"SS0217"}{"name":"兄弟 要搭便車嗎""number":"SS0106"},我不要,1
提問:你知道這個問題要問誰嗎?--模板:{"name":"你們一定以為我很笨吧""number":"SS0228"}{"name":"我的腦袋一定是 在哪裡撞壞了""number":"SS0261"}{"name":"你們一定以為我很笨吧""number":"SS0228"}{"name":"我為什麼要問你們這些問題""number":"SS0222"}{"name":"他又在鬼叫些什麼""number":"SS0159"}{"name":"說來聽聽""number":"SS0136"}{"name":"你們到底有沒有大腦啊""number":"SS0109"}][{"name":"他是不是有問題""number":"SS0175"}{"name":"你到底有什麼問題啊""number":"SS0174"}{"name":"你們這些人是怎樣""number":"SS0160"}{"name":"我為什麼要問你們這些問題""number":"SS0222"}{"name":"你還是黃得要命""number":"SS0238"}{"name":"不對 傻瓜 那是十五號啦""number":"SS0298"}{"name":"E小調""number":"SS0244"},說來聽聽,5
提問:你知道這個問題要問誰嗎?--模板:{"name":"你們一定以為我很笨吧""number":"SS0228"}{"name":"我的腦袋一定是 在哪裡撞壞了""number":"SS0261"}{"name":"你們一定以為我很笨吧""number":"SS0228"}{"name":"我為什麼要問你們這些問題""number":"SS0222"}{"name":"他又在鬼叫些什麼""number":"SS0159"}{"name":"說來聽聽""number":"SS0136"}{"name":"你們到底有沒有大腦啊""number":"SS0109"}][{"name":"他是不是有問題""number":"SS0175"}{"name":"你到底有什麼問題啊""number":"SS0174"}{"name":"你們這些人是怎樣""number":"SS0160"}{"name":"我為什麼要問你們這些問題""number":"SS0222"}{"name":"你還是黃得要命""number":"SS0238"}{"name":"不對 傻瓜 那是十五號啦""number":"SS0298"}{"name":"E小調""number":"SS0244"},E小調,2
提問:你知道這個問題要問誰嗎?--模板:{"name":"你們一定以為我很笨吧""number":"SS0228"}{"name":"我的腦袋一定是 在哪裡撞壞了""number":"SS0261"}{"name":"你們一定以為我很笨吧""number":"SS0228"}{"name":"我為什麼要問你們這些問題""number":"SS0222"}{"name":"他又在鬼叫些什麼""number":"SS0159"}{"name":"說來聽聽""number":"SS0136"}{"name":"你們到底有沒有大腦啊""number":"SS0109"}][{"name":"他是不是有問題""number":"SS0175"}{"name":"你到底有什麼問題啊""number":"SS0174"}{"name":"你們這些人是怎樣""number":"SS0160"}{"name":"我為什麼要問你們這些問題""number":"SS0222"}{"name":"你還是黃得要命""number":"SS0238"}{"name":"不對 傻瓜 那是十五號啦""number":"SS0298"}{"name":"E小調""number":"SS0244"},我為什麼要問你們這些問題,3
提問:你知道這個問題要問誰嗎?--模板:{"name":"你們一定以為我很笨吧""number":"SS0228"}{"name":"我的腦袋一定是 在哪裡撞壞了""number":"SS0261"}{"name":"你們一定以為我很笨吧""number":"SS0228"}{"name":"我為什麼要問你們這些問題""number":"SS0222"}{"name":"他又在鬼叫些什麼""number":"SS0159"}{"name":"說來聽聽""number":"SS0136"}{"name":"你們到底有沒有大腦啊""number":"SS0109"}][{"name":"他是不是有問題""number":"SS0175"}{"name":"你到底有什麼問題啊""number":"SS0174"}{"name":"你們這些人是怎樣""number":"SS0160"}{"name":"我為什麼要問你們這些問題""number":"SS0222"}{"name":"你還是黃得要命""number":"SS0238"}{"name":"不對 傻瓜 那是十五號啦""number":"SS0298"}{"name":"E小調""number":"SS0244"},我不知道,1
提問:你知道這個問題要問誰嗎?--模板:{"name":"你們一定以為我很笨吧""number":"SS0228"}{"name":"我的腦袋一定是 在哪裡撞壞了""number":"SS0261"}{"name":"你們一定以為我很笨吧""number":"SS0228"}{"name":"我為什麼要問你們這些問題""number":"SS0222"}{"name":"他又在鬼叫些什麼""number":"SS0159"}{"name":"說來聽聽""number":"SS0136"}{"name":"你們到底有沒有大腦啊""number":"SS0109"}][{"name":"他是不是有問題""number":"SS0175"}{"name":"你到底有什麼問題啊""number":"SS0174"}{"name":"你們這些人是怎樣""number":"SS0160"}{"name":"我為什麼要問你們這些問題""number":"SS0222"}{"name":"你還是黃得要命""number":"SS0238"}{"name":"不對 傻瓜 那是十五號啦""number":"SS0298"}{"name":"E小調""number":"SS0244"},他又在鬼叫些什麼,2



